Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,58.900002,58.900002,58.509998,58.720001,51.813068,11900
2023-03-28,58.990002,59.360001,58.950001,59.243000,52.274548,15600
2023-03-29,59.049999,59.049999,58.369999,58.369999,51.504234,4700
2023-03-30,59.099998,59.470001,59.099998,59.470001,52.474850,1100
2023-03-31,59.127998,59.127998,59.127998,59.127998,52.173073,400
2023-04-03,59.500000,59.595001,59.400002,59.505001,52.505733,37700
2023-04-04,59.680000,60.860001,59.680000,60.840000,53.683704,109300
2023-04-05,60.880001,60.950001,60.627998,60.840000,53.683704,7200
2023-04-06,60.830002,60.830002,60.029999,60.221001,53.137512,3700
2023-04-10,59.509998,59.730999,59.509998,59.730999,52.705147,1900
2023-04-11,60.189999,60.189999,60.025002,60.168999,53.091629,2400
2023-04-12,60.180000,60.465000,60.160000,60.419998,53.313103,1000
2023-04-13,61.410000,61.410000,61.055000,61.155998,53.962532,2100
2023-04-14,60.349998,60.349998,59.919998,60.151001,53.075748,2500
2023-04-17,59.891998,59.891998,59.891998,59.891998,52.847210,200
2023-04-18,60.299999,60.320000,59.974998,60.145000,53.070454,2700
2023-04-19,59.823002,59.867001,59.823002,59.867001,52.825153,400
2023-04-20,60.290001,60.290001,60.109001,60.109001,53.038689,1000
2023-04-21,59.340000,59.410000,59.340000,59.389999,52.404259,1100
2023-04-24,59.439999,59.799999,59.439999,59.799999,52.766033,600
2023-04-25,59.930000,59.930000,59.509998,59.904999,52.858681,3200
2023-04-26,60.500000,60.500000,59.646999,59.646999,52.631027,56800
2023-04-27,59.680000,59.680000,59.349998,59.624001,52.610733,2400
2023-04-28,59.529999,59.630001,59.529999,59.630001,52.616028,10500
2023-05-01,60.330002,60.330002,59.419998,59.549999,52.545437,15400
2023-05-02,59.770000,60.556999,59.770000,60.556999,53.433990,5100
2023-05-03,60.860001,61.043999,60.340000,61.043999,53.863705,3600
2023-05-04,61.299999,61.820000,61.299999,61.466000,54.236069,6400
2023-05-05,60.619999,60.619999,60.424999,60.604000,53.475460,2200
2023-05-08,60.959999,60.959999,60.637001,60.671001,53.534584,47100
2023-05-09,60.669998,61.259998,60.669998,61.189999,53.992531,7100
2023-05-10,61.240002,61.240002,60.685001,60.888000,53.726055,1500
2023-05-11,60.549999,60.549999,60.368000,60.368000,53.267220,500
2023-05-12,60.689999,60.689999,60.224998,60.269001,53.179867,3800
2023-05-15,60.980000,60.980000,60.409000,60.409000,53.303398,4700
2023-05-16,60.169998,60.180000,59.645000,59.645000,52.629265,2000
2023-05-17,59.689999,59.689999,59.365002,59.424999,52.435143,2000
2023-05-18,58.889999,58.889999,58.470001,58.685001,51.782185,3200
2023-05-19,58.930000,59.407001,58.930000,59.369999,52.386608,1100
2023-05-22,59.270000,59.290001,59.020000,59.049999,52.104252,2500
2023-05-23,59.119999,59.240002,59.070000,59.240002,52.271904,800
2023-05-24,59.259998,59.259998,58.779999,58.783001,51.868656,1400
2023-05-25,58.720001,58.720001,58.160000,58.160000,51.318935,5800
2023-05-26,58.709999,58.709999,58.220001,58.341999,51.479530,2500
2023-05-30,58.490002,58.759998,58.490002,58.759998,51.848362,2300
2023-05-31,58.720001,59.160000,58.720001,58.887001,51.960426,4100
2023-06-01,59.410000,59.410000,58.990002,59.160000,52.201313,87200
2023-06-02,59.410000,59.410000,58.400002,58.400002,51.530708,1300
2023-06-05,58.310001,58.930000,58.310001,58.814999,51.896893,186600
2023-06-06,59.009998,59.009998,58.875000,58.875000,51.949837,1400
2023-06-07,58.340000,58.340000,58.217999,58.217999,51.370113,400
2023-06-08,58.985001,58.985001,58.912998,58.912998,51.983364,1300
2023-06-09,58.689999,58.950001,58.689999,58.766998,51.854538,800
2023-06-12,58.709000,58.709000,58.709000,58.709000,51.803360,400
2023-06-13,58.490002,58.490002,58.130001,58.169998,51.327759,2300
2023-06-14,58.590000,58.599998,58.330002,58.337002,51.475121,4900
2023-06-15,58.320000,58.860001,58.320000,58.693001,51.789242,3800
2023-06-16,58.770000,58.810001,58.310001,58.310001,51.451294,2000
2023-06-20,58.000000,58.054001,57.820000,58.054001,51.225407,1300
2023-06-21,57.849998,58.090000,57.849998,57.953999,51.137165,4600
2023-06-22,57.430000,57.450001,57.299999,57.349998,50.604214,7900
2023-06-23,57.330002,57.880001,57.330002,57.515999,50.750687,4300
2023-06-26,57.560001,57.750000,57.540001,57.645000,50.864513,3000
2023-06-27,57.230000,57.347000,57.230000,57.347000,50.601566,6600
2023-06-28,57.040001,57.305000,57.040001,57.139999,50.418915,10900
2023-06-29,56.849998,57.360001,56.849998,57.220001,50.489506,7100
2023-06-30,57.000000,57.560001,57.000000,57.504002,50.740101,3600
2023-07-03,57.860001,57.880001,57.689999,57.700001,50.913044,14000
2023-07-05,57.700001,57.759998,57.299999,57.404999,50.652744,2800
2023-07-06,57.215000,57.215000,57.215000,57.215000,50.485092,0
2023-07-07,57.639999,57.812000,57.639999,57.672001,50.888340,1300
2023-07-10,57.720001,57.779999,57.629002,57.726002,50.935989,3100
2023-07-11,58.099998,58.105000,57.895000,57.895000,51.085110,3100
2023-07-12,58.279999,58.820000,58.279999,58.674999,51.773361,2200
2023-07-13,58.799999,58.810001,58.680000,58.705002,51.799831,900
2023-07-14,58.617001,58.617001,58.555000,58.555000,51.667477,300
2023-07-17,58.535999,58.590000,58.431000,58.564999,51.676296,700
2023-07-18,59.255001,59.439999,59.238998,59.238998,52.271019,1500
2023-07-19,59.212002,59.279999,59.141998,59.255001,52.285137,1100
2023-07-20,59.090000,59.090000,58.869999,58.987999,52.049541,6600
2023-07-21,58.430000,58.930000,58.430000,58.768002,51.855423,3100
2023-07-24,58.685001,58.685001,58.530998,58.530998,51.646297,400
2023-07-25,58.939999,58.939999,58.939999,58.939999,52.007187,700
2023-07-26,58.919998,59.146000,58.919998,59.146000,52.188957,1500
2023-07-27,58.169998,58.175999,58.169998,58.175999,51.333054,500
2023-07-28,58.349998,58.612999,58.349998,58.612999,51.718651,600
2023-07-31,58.709999,58.790001,58.709999,58.790001,51.874836,3300
2023-08-01,57.990002,58.290001,57.990002,58.090000,51.257172,18100
2023-08-02,58.040001,58.040001,57.830002,57.939999,51.124813,400
2023-08-03,57.880001,57.880001,57.840000,57.840000,51.036575,200
2023-08-04,58.070000,58.200001,57.980000,58.099998,51.265995,3000
2023-08-07,57.930000,57.980000,57.855000,57.973000,51.153931,2300
2023-08-08,57.750000,57.750000,57.633999,57.633999,50.854805,400
2023-08-09,57.500000,57.500000,57.261002,57.355000,50.608624,4400
2023-08-10,57.540001,57.540001,57.160000,57.259998,50.524799,3500
2023-08-11,57.230000,57.520000,57.110001,57.230999,50.499210,3200
2023-08-14,56.840000,57.319000,56.840000,57.080002,50.365974,3800
2023-08-15,57.189999,57.189999,57.040001,57.040001,50.330677,5300
2023-08-16,56.880001,56.880001,56.599998,56.599998,49.942432,800
2023-08-17,56.514999,56.514999,56.514999,56.514999,49.867428,200
2023-08-18,56.615002,56.615002,56.360001,56.509998,49.863018,600
2023-08-21,56.860001,56.860001,56.798000,56.798000,50.117142,700
2023-08-22,56.660000,56.766998,56.619999,56.759998,50.083611,500
2023-08-23,57.029999,57.439999,57.029999,57.355000,50.608624,900
2023-08-24,58.910000,58.910000,57.263000,57.325001,50.582153,1300
2023-08-25,57.238998,57.238998,57.238998,57.238998,50.506268,100
2023-08-28,57.404999,57.404999,57.404999,57.404999,50.652744,300
2023-08-29,57.500000,57.980000,57.500000,57.974998,51.155697,3800
2023-08-30,58.162998,58.162998,58.162998,58.162998,51.321583,200
2023-08-31,58.105000,58.105000,58.011002,58.011002,51.187466,200
2023-09-01,58.044998,58.044998,58.044998,58.044998,51.217461,100
2023-09-05,57.650002,57.650002,57.540001,57.540001,50.771866,700
2023-09-06,57.529999,57.529999,57.321999,57.355000,50.608624,1900
2023-09-07,57.375000,57.445000,57.301998,57.404999,50.652744,1500
2023-09-08,57.250000,57.349998,57.250000,57.275002,50.538036,5300
2023-09-11,57.509998,57.527000,57.470001,57.470001,50.710098,700
2023-09-12,56.974998,57.195000,56.974998,57.195000,50.467445,600
2023-09-13,57.020000,57.020000,56.959999,56.959999,50.260086,1400
2023-09-14,56.869999,57.169998,56.869999,57.160000,50.436562,8400
2023-09-15,57.630001,57.630001,57.505001,57.505001,50.740982,1700
2023-09-18,57.630001,57.785000,57.630001,57.785000,50.988045,500
2023-09-19,57.779999,57.779999,57.610001,57.735001,50.943928,600
2023-09-20,58.040001,58.040001,57.855999,57.855999,51.050694,300
2023-09-21,56.500000,57.470001,56.500000,57.389999,50.639507,72700
2023-09-22,57.576000,57.576000,57.419998,57.540001,50.771866,2000
2023-09-25,57.200001,57.290001,57.200001,57.279999,50.542446,900
2023-09-26,56.849998,56.930000,56.680000,56.779999,50.101257,1600
2023-09-27,55.990002,56.115002,55.990002,56.115002,49.514481,600
2023-09-28,55.669998,55.764999,55.665001,55.764999,49.205647,300
2023-09-29,55.662998,55.662998,55.268002,55.268002,48.767109,800
2023-10-02,54.990002,54.990002,54.610001,54.610001,48.186504,5100
